BIB_ID,MFHD_ID,ITEM_ID,LOCATION_NAME,Expr1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173555,203146,2866690,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829079,1963381,2866653,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171608,1282405,2866700,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047207,2180442,2866660,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18602,32282,2866746,Carlson Circulating Books,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563331,628823,2866745,Rhees Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866818,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829079,1963381,2866654,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047207,2180442,2866661,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2085762,2219816,2866786,UR Lib Annex 3,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829079,1963381,2866655,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866819,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563331,628823,2866744,Rhees Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047207,2180442,2866662,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720931,1849443,2866730,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829079,1963381,2866656,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18602,32282,2866749,Carlson Circulating Books,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405992,2552308,2866686,MAG Multimedia,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866821,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866823,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,527,2866643,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829079,1963381,2866657,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866824,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,527,2866644,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,527,2866645,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866825,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866827,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,527,2866646,NewsMicroCtr Microform,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866828,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
